ID_CURSO,TEMA_CLASSROOM,TITULO_MATERIAL,DESCRIPCION_MATERIAL,URL_GITHUB
,5.5 Trio Dinamico StarWars,Practica: P2.2_BB8_Simulador.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P2.2_BB8_Simulador.html
,5.5 Trio Dinamico StarWars,Practica: P3.1_C3PO_Simulador.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P3.1_C3PO_Simulador.html
,5.5 Trio Dinamico StarWars,Practica: P4_TRIO_DINAMICO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.5_Trio_Dinamico_StarWars/3.PRACTICAS/P4_TRIO_DINAMICO.html
,5.6 Robot combate,Teoria: T0.DEBATE.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/2.TEORIA/T0.DEBATE.pdf
,5.6 Robot combate,Teoria: T1.TEORIA.pdf,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/2.TEORIA/T1.TEORIA.pdf
,5.6 Robot combate,Teoria: T2.VIDEO.mp4,Consulta este material de teoria.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/2.TEORIA/T2.VIDEO.mp4
,5.6 Robot combate,Practica: P1.CONOCE_A_MECHA.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/3.PRACTICAS/P1.CONOCE_A_MECHA.html
,5.6 Robot combate,Practica: P2.1.VISOR_ANIMACIONES.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/3.PRACTICAS/P2.1.VISOR_ANIMACIONES.html
,5.6 Robot combate,Practica: P3.LUCHA_DE-MECHAS.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/3.PRACTICAS/P3.LUCHA_DE-MECHAS.html
,5.6 Robot combate,Practica: P4.JUEGO.html,Abre este simulador interactivo.,https://javiercursocorreo-gif.github.io/Curso-Robotica/BLOQUE-5_Androides/5.6_Robot-combate/3.PRACTICAS/P4.JUEGO.html
